"Microservice", "Test", "Autoscaling", "PKG_Energy", "Response_Time"
carts,1,Carbon_Aware_KEDA,26.13,
front-end,1,Carbon_Aware_KEDA,15.61,
user,1,Carbon_Aware_KEDA,8.6,
carts-db,1,Carbon_Aware_KEDA,7.33,
catalogue,1,Carbon_Aware_KEDA,9.83,
catalogue-db,1,Carbon_Aware_KEDA,4.11,
orders,1,Carbon_Aware_KEDA,8.03,
orders-db,1,Carbon_Aware_KEDA,4.98,
payment,1,Carbon_Aware_KEDA,5.14,
queue-master,1,Carbon_Aware_KEDA,27.91,
rabbitmq,1,Carbon_Aware_KEDA,9.52,
session-db,1,Carbon_Aware_KEDA,5.14,
shipping,1,Carbon_Aware_KEDA,25.22,
user-db,1,Carbon_Aware_KEDA,6.47,
carts,2,Carbon_Aware_KEDA,22.47,
front-end,2,Carbon_Aware_KEDA,17.5,
user,2,Carbon_Aware_KEDA,9.02,
carts-db,2,Carbon_Aware_KEDA,6.26,
catalogue,2,Carbon_Aware_KEDA,4.92,
catalogue-db,2,Carbon_Aware_KEDA,4.92,
orders,2,Carbon_Aware_KEDA,20.04,
orders-db,2,Carbon_Aware_KEDA,6.98,
payment,2,Carbon_Aware_KEDA,4.98,
queue-master,2,Carbon_Aware_KEDA,24.35,
rabbitmq,2,Carbon_Aware_KEDA,12.31,
session-db,2,Carbon_Aware_KEDA,4.98,
shipping,2,Carbon_Aware_KEDA,13.17,
user-db,2,Carbon_Aware_KEDA,4.32,
carts,3,Carbon_Aware_KEDA,19.36,
front-end,3,Carbon_Aware_KEDA,24.37,
user,3,Carbon_Aware_KEDA,11.98,
carts-db,3,Carbon_Aware_KEDA,6.41,
catalogue,3,Carbon_Aware_KEDA,4.98,
catalogue-db,3,Carbon_Aware_KEDA,4.98,
orders,3,Carbon_Aware_KEDA,14.34,
orders-db,3,Carbon_Aware_KEDA,8.15,
payment,3,Carbon_Aware_KEDA,4.98,
queue-master,3,Carbon_Aware_KEDA,28.35,
rabbitmq,3,Carbon_Aware_KEDA,8.15,
session-db,3,Carbon_Aware_KEDA,4.98,
shipping,3,Carbon_Aware_KEDA,12.55,
user-db,3,Carbon_Aware_KEDA,4.3,
