"Microservice","Test","Autoscaling","PKG_Energy","Response_Time"
"carts",1,"HPA_Based",29.71,707
"front-end",1,"HPA_Based",19.55,703
"user",1,"HPA_Based",3.71,722
"catalogue",1,"HPA_Based",6.71,641
"carts",2,"HPA_Based",30.2,815
"front-end",2,"HPA_Based",10.11,748
"user",2,"HPA_Based",3.17,825
"catalogue",2,"HPA_Based",3.18,723
"carts",3,"HPA_Based",50.3,848
"front-end",3,"HPA_Based",10.12,692
"user",3,"HPA_Based",3.29,858
"catalogue",3,"HPA_Based",3.19,762
"carts",1,"Carbon_Aware_KEDA",14.53,761
"front-end",1,"Carbon_Aware_KEDA",9.59,713
"user",1,"Carbon_Aware_KEDA",3.17,769
"catalogue",1,"Carbon_Aware_KEDA",3.26,694
"carts",2,"Carbon_Aware_KEDA",14.71,1090
"front-end",2,"Carbon_Aware_KEDA",6.7,929
"user",2,"Carbon_Aware_KEDA",3.17,1173
"catalogue",2,"Carbon_Aware_KEDA",3.18,979
"carts",3,"Carbon_Aware_KEDA",13.25,928
"front-end",3,"Carbon_Aware_KEDA",8.61,804
"user",3,"Carbon_Aware_KEDA",3.18,944
"catalogue",3,"Carbon_Aware_KEDA",3.19,843
